DeepGazeIIE model
Image,NSS
High(i).png,0.7023621
High(ii).png,1.7511429
High(iii).png,1.5403963
Low(i).png,2.8976572
Low(ii).png,3.7276926
Low(iii).png,3.2046382
Medium(i).png,2.1997132
Medium(ii).png,1.878143
Medium(iii).png,1.3757337
Average, 2.1419
