Filename,AUC-Judd
High(i).png,0.8155998687338881
High(ii).png,0.9101835836064088
High(iii).png,0.9577897831341637
Low(i).png,0.940071297826068
Low(ii).png,0.8831362864522466
Low(iii).png,0.9518986405852143
Medium(i).png,0.9332031654408574
Medium(ii).png,0.9075233412327307
Medium(iii).png,0.9343040359886263
Average,0.9148566670000228
