Image,NSS
High(i).png,2.1627576
High(ii).png,2.7655544
High(iii).png,2.042809
Low(i).png,4.3237543
Low(ii).png,7.8665414
Low(iii).png,6.302982
Medium(i).png,3.4898555
Medium(ii).png,4.5670853
Medium(iii).png,2.9174728
