Image,CC
High(i).png,0.82
High(ii).png,0.82
High(iii).png,0.81
Low(i).png,0.87
Low(ii).png,0.96
Low(iii).png,0.94
Medium(i).png,0.9
Medium(ii).png,0.92
Medium(iii).png,0.9

Average,0.88
